id;username;nama;alamat;password;role
1;lolxd;Hahaha;India;maumasukif;User
2;lordgedelicious;Gede Prasidha Bhawarnawa;Indonesia;STEIITB;Admin
4;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
5;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
20;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
122;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
123;usernamee;Namaa;zxc;floy;User
124;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
130;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
131;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
132;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
133;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
134;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
135;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
136;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
137;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
138;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
139;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
140;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
141;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
142;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
143;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
144;bebas;my name is;Jl. Ganesha;Mau tau aja;ngadimin
144;lol;Hahaha\;aswqewq;czczc;User
144;asdwqe;Asdad;cvbv;zxczczc;User
144;cvxvx;Adsad;asdasd;12313;User
